2015/05/08,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.3,3.3,3.2
2015/06/09,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.3,3.3,3.3
2015/07/07,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.3,3.3,3.3
2015/08/07,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.3,3.3,3.3
2015/09/08,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.3,3.3,3.3
2015/10/08,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.4,3.4,3.3
2015/11/10,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.4,3.4,3.4
2015/12/09,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.4,3.4,3.4
2016/01/08,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.4,3.4,3.4
2016/02/09,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.4,3.4,3.4
2016/03/08,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,Better Than Expected            ,% ,3.4,3.5,3.4
2016/04/08,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.5,3.5,3.4
2016/05/10,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.5,3.5,evised From 3.5
2016/06/09,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.5,3.5,3.5
2016/07/08,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,Better Than Expected            ,% ,3.3,3.5,evised From 3.5
2016/08/09,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.3,3.3,3.3
2016/09/09,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,Worse Than Expected             ,% ,3.4,3.3,3.3
2016/10/10,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,Better Than Expected            ,% ,3.3,3.4,evised From 3.4
2016/11/08,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.3,3.3,3.3
2016/12/09,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.3,3.3,3.3
2017/01/10,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.3,3.3,3.3
2017/02/09,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.3,3.3,3.3
2017/03/09,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.3,3.3,3.3
2017/04/07,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.3,3.3,3.3
2017/05/09,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,Worse Than Expected             ,% ,3.3,3.2,3.3
2017/06/08,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,Better Than Expected            ,% ,3.2,3.3,evised From 3.3
2017/07/07,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.2,3.2,3.2
2017/08/08,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.2,3.2,3.2
2017/09/08,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.2,3.2,3.2
2017/10/10,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,Better Than Expected            ,% ,3.1,3.2,3.2
2017/11/09,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.1,3.1,3.1
2017/12/07,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,Better Than Expected            ,% ,3,3.1,3.1
2018/01/09,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.0              ,3.00,evised From 3.0
2018/02/09,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.0              ,3.00,3.00
2018/03/08,2:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,2.9              ,2.90,3.00
2018/04/09,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,2.9              ,2.90,2.90
2018/05/08,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,Better Than Expected            ,% ,2.7              ,2.90,evised From 2.9
2018/06/07,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,2.6              ,2.60,2.70
2018/07/09,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,Worse Than Expected             ,% ,2.6              ,2.50,evised From 2.6
2018/08/09,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,2.6              ,2.60,2.60
2018/09/07,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,2.6              ,2.60,2.60
2018/10/08,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,2.5              ,2.50,2.60
2018/11/08,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,2.5              ,2.50,2.50
2018/12/10,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,Better Than Expected            ,% ,2.4              ,2.50,2.50
