2015/05/15,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-2.1,-0.1,0.2
2015/06/15,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.8,0.1,-2.1
2015/07/14,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.1,0.2,-0.8
2015/08/13,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.3,-0.2,-0.1
2015/09/14,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.7,-0.4,-0.3
2015/10/13,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,In Line with Expectation        ,% ,-0.1,-0.1,-0.7
2015/11/13,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.2,-0.2,-0.1
2015/12/15,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.4,0.1,0.2
2016/01/19,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.4,0.2,0.4
2016/02/22,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.4,-0.2,-0.4
2016/03/17,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.6,0.2,-0.4
2016/04/14,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0,-0.2,-0.6
2016/05/17,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.3,0.1,0
2016/06/14,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.4,0.1,0.3
2016/07/14,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.1,0.2,0.4
2016/08/15,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,-0.1,-0.2,0.1
2016/09/13,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.3,-0.2,-0.1
2016/10/14,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.3,0.1,-0.3
2016/11/14,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.1,0.2,0.3
2016/12/14,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.1,-0.1,0.1
2017/01/19,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.2,0.2,0.1
2017/02/14,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.4,0.3,0.2
2017/03/15,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.2,0.4,0.4
2017/04/13,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.1,0.1,-0.2
2017/05/15,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.2,0,0.1
2017/06/15,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.3,-0.1,-0.2
2017/07/13,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.1,0,-0.3
2017/08/15,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,In Line with Expectation        ,% ,0,0,-0.1
2017/09/13,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.3,0.2,0
2017/10/13,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.5,0.3,0.3
2017/11/14,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.5,0.2,0.5
2017/12/14,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.6,0.3,0.5
2018/01/19,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,,% ,0.2              ,,0.60
2018/02/13,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.3              ,0.20,0.20
2018/03/15,4:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.3              ,0.20,0.30
2018/04/16,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.2             ,0.40,0.30
2018/05/15,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.4              ,0.30,-0.20
2018/06/13,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.2              ,0.30,0.40
2018/07/13,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.2              ,0.20,0.20
2018/08/14,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.1              ,0.30,0.20
2018/09/13,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.0              ,0.00,0.10
2018/10/15,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.2             ,0.10,0.00
2018/11/13,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.2              ,0.10,-0.20
2018/12/13,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,In Line with Expectation        ,% ,-0.3             ,0.10,0.20
2019/01/18,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.6,-0.1,-0.3
2019/02/14,3:30:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.7,-0.4,-0.6
2019/03/14,3:30:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.2,-0.1,-0.7
2019/04/15,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.3,0.2,0.2
2019/05/14,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0,0.2,0.3
2019/06/13,1:30:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0,0.1,0
2019/07/15,1:30:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.5,0.1,0
2019/08/15,1:30:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,-0.1,-0.2,-0.5
2019/09/12,1:30:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,In Line with Expectation        ,% ,-0.2,-0.2,-0.1
2019/10/15,1:30:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.3,-0.1,-0.2
2019/11/14,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.2,-0.1,-0.3
2019/12/12,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.4,-0.1,-0.2
2020/01/17,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,,% ,0.1,,-0.4
2020/02/14,3:30:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,,% ,0,,0.1
2020/03/16,3:30:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,,% ,-0.9,,0
2020/04/16,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,,% ,-0.3,,-0.9
2020/05/14,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,,% ,-1.3,,-0.3
2020/06/15,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,,% ,-0.5,,-1.3
2020/07/14,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,,% ,0.5,,-0.5
2020/08/14,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,,% ,0.1,,0.5
