2016/01/15,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,0,0,-0.3
2016/01/29,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,-0.3,0.1,0
2016/02/12,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-0.3,-0.3,-0.3
2016/02/26,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,-0.8,-0.5,-0.3
2016/03/11,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-0.8,-0.8,-0.8
2016/03/31,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,-0.8,-0.6,-0.8
2016/04/13,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-0.8,-0.8,-0.8
2016/04/28,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,-1.1,-0.7,-0.8
2016/05/13,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-1.1,-1.1,-0.8
2016/05/30,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-1,-1,-1.1
2016/06/14,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-1,-1,-1.1
2016/06/29,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,-0.8,-0.9,-1
2016/07/13,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-0.8,-0.8,-0.8
2016/07/29,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,-0.6,-0.5,-0.8
2016/08/12,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-0.6,-0.6,-0.6
2016/08/30,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,-0.1,-0.5,-0.6
2016/09/13,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2016/09/29,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,0.3,0.1,-0.1
2016/10/14,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,0.2,0.3,0.3
2016/10/28,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,0.7,0.3,0.2
2016/11/15,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,0.7,0.7,0.7
2016/11/29,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,0.7,0.5,0.7
2016/12/13,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,0.7,0.7,0.7
2016/12/30,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,1.5,0.9,0.7
2017/01/13,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,1.6,1.5,1.5
2017/01/31,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,3,2.3,1.6
2017/02/15,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,3,3,1.6
2017/02/27,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,3,3.3,3
2017/03/14,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,3,3,3
2017/03/30,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,2.3,2.6,3
2017/04/12,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,2.3,2.3,2.3
2017/04/27,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,2.6,2.5,2.3
2017/05/12,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,2.6,2.6,2.6
2017/05/30,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,1.9,2.1,2.6
2017/06/13,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,1.9,1.9,1.9
2017/06/29,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,1.5,1.6,1.9
2017/07/13,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,1.5,1.5,1.5
2017/07/28,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,1.5,1.5,1.5
